id,full_name,teammates
76001,Alaa Abdelnaby,"{768, 129, 897, 78478, 17, 404, 1429, 76952, 281, 76441, 78492, 412, 31, 416, 76961, 76450, 291, 37, 296, 78633, 170, 1450, 428, 1453, 941, 305, 76082, 433, 308, 76732, 189, 78273, 77384, 77387, 333, 81, 1365, 344, 345, 1114, 76123, 221, 95, 76770, 361, 77294, 76017, 244, 117, 760, 762, 123}"
76002,Zaid Abdul-Aziz,"{78592, 77570, 76802, 77316, 76806, 77323, 78350, 78606, 77584, 78097, 76559, 76305, 76815, 76566, 78103, 76568, 77080, 76576, 76065, 78372, 76076, 76083, 76343, 76860, 78143, 78399, 76865, 76095, 77636, 78159, 78168, 77914, 76379, 77147, 77149, 76382, 78178, 77669, 78439, 77418, 78190, 76403, 78200, 76413, 78467, 76165, 76166, 78213, 77705, 78473, 78335, 77964, 77710, 77463, 78488, 78237, 78495, 77988, 77733, 76970, 76971, 76462, 77487, 78510, 76466, 78003, 76213, 76981, 78520, 76985, 76477, 76735, 77759, 78530, 76740, 76485, 78028, 77517, 600015, 78547, 76500, 77012, 77523, 76759, 76504, 78042, 77533, 76003, 77543, 78568, 76012, 77295, 76272, 77567}"
76003,Kareem Abdul-Jabbar,"{77570, 2, 77316, 78597, 77835, 77324, 77325, 78348, 77330, 77074, 77332, 77334, 78615, 77338, 76832, 76321, 76065, 76576, 76330, 77100, 77618, 76338, 77365, 78648, 77883, 76603, 77373, 76350, 76865, 76355, 1091, 76361, 77135, 77905, 76883, 77142, 76121, 76379, 78429, 76382, 1631, 77668, 76901, 76392, 77416, 77420, 78190, 78331, 77944, 77689, 78460, 77182, 77183, 78467, 77699, 77962, 77707, 78477, 77198, 77970, 76947, 77205, 920, 77721, 77978, 78233, 76444, 76187, 78495, 77988, 76204, 77484, 77998, 76206, 78000, 76466, 78003, 1460, 76981, 77498, 76734, 76992, 78532, 76485, 77259, 76237, 600015, 76754, 77523, 76500, 78294, 76504, 76248, 77530, 78042, 78045, 77533, 76002, 78306, 76516, 76005, 77541, 78567, 78568, 76263, 76522, 77040, 77808, 76786, 77558, 78327, 76027}"
51,Mahmoud Abdul-Rauf,"{258, 3, 900, 1800, 782, 76433, 915, 77460, 149, 147, 77335, 78615, 76695, 1817, 1821, 285, 931, 76968, 77865, 1577, 1065, 1453, 686, 687, 1710, 1073, 178, 179, 949, 438, 183, 695, 310, 182, 1722, 1855, 78656, 193, 77377, 67, 1089, 63, 199, 76618, 77386, 77387, 77, 721, 722, 81, 1489, 341, 87, 88, 76123, 735, 76770, 100, 76265, 107, 236, 76782, 111, 1134, 2031, 1010, 246, 123, 77694, 763}"
1505,Tariq Abdul-Wahad,"{901, 137, 2059, 2572, 782, 143, 1559, 281, 1565, 1952, 1444, 422, 2605, 1711, 1967, 1712, 178, 1715, 1717, 182, 696, 952, 185, 2492, 959, 960, 714, 971, 461, 1744, 722, 978, 468, 89, 1504, 997, 1513, 1138, 762, 1915, 124, 1533}"
949,Shareef Abdur-Rahim,"{3, 2566, 1544, 1032, 101128, 1802, 1545, 1626122, 1800, 2321, 2069, 21, 28, 2078, 287, 1065, 299, 200749, 51, 310, 101179, 200763, 2109, 63, 324, 1096, 1110, 1630, 1891, 1897, 1898, 1901, 1134, 1903, 2417, 200818, 1910, 2422, 2424, 1918, 898, 389, 905, 2441, 143, 1425, 1683, 673, 2466, 1956, 2724, 2216, 1960, 685, 1710, 176, 689, 432, 2742, 1719, 953, 78009, 1722, 958, 2751, 201150, 2241, 192, 2499, 2755, 2757, 195, 1735, 712, 1737, 964, 1739, 1732, 970, 722, 2775, 1498, 734, 735, 1507, 1764, 997, 236, 1518, 2031, 2032, 1521, 2035, 757, 2038, 248, 763, 1533, 1023}"
76005,Tom Abernethy,"{78467, 76678, 77325, 77330, 77074, 76441, 77978, 77721, 78365, 76317, 77983, 76457, 78510, 76465, 305, 78139, 76350, 76734, 76095, 78146, 78532, 76231, 77770, 77136, 78294, 76504, 76379, 77532, 77917, 78045, 77148, 78561, 76003, 77028, 77668, 76516, 77159, 77800, 229, 77692, 77419, 77290, 76526, 78199, 76027, 78460, 78587}"
76006,Forest Able,"{76160, 77248, 76962, 78117, 78374, 76429, 77394, 78066, 77052, 77049, 77791, 78076, 77919}"
76007,John Abramovic,set()
203518,Alex Abrines,"{1626177, 203460, 203924, 202708, 1627734, 203926, 202713, 202331, 201566, 202335, 202683, 1628390, 201959, 203500, 203506, 2546, 101109, 201147, 1628408, 203962, 2555, 1627772, 203902}"
1630173,Precious Achiuwa,"{1630209, 1627783, 201609, 1629067, 203920, 1630613, 1629718, 1629717, 1631132, 1629216, 1628449, 1630625, 203944, 1628973, 2738, 1628978, 1629622, 1627832, 2617, 1630525, 201152, 202692, 1629639, 1629130, 1629003, 1629644, 1630540, 1629134, 1629004, 1630288, 203473, 1629011, 2772, 1629139, 202710, 202711, 1630551, 1629018, 1631199, 1628384, 203490, 1628389, 1630567, 1628392, 1627751, 1631210, 203115, 203506, 1630579, 1628404, 202357, 1630580, 1630201}"
101165,Alex Acker,"{201569, 1730, 201154, 1729, 201446, 200776, 2216, 2410, 200779, 948, 2549, 1884, 201599}"
76008,Donald Ackerman,"{77536, 77537, 76773, 78405, 78153, 78187, 76081, 76210, 76243, 76404, 78075}"
76009,Mark Acres,"{265, 76170, 77969, 76050, 914, 1683, 149, 279, 76316, 925, 76450, 291, 931, 76453, 38, 77096, 1449, 1450, 77609, 170, 78381, 305, 183, 78394, 442, 78528, 192, 194, 77384, 77130, 76876, 333, 600014, 77, 78417, 76543, 339, 77141, 85, 216, 1628, 97, 98, 1123, 101, 78310, 122, 1125, 364, 76017, 78194, 78198, 77558, 77946, 77819, 767}"
76010,Charles Acton,"{76258, 76867, 76774, 76106, 77195, 76108, 76716, 77259, 77295, 77962, 78539, 78457, 76187, 77533}"
203112,Quincy Acy,"{202498, 204037, 204038, 2566, 101132, 1626143, 203552, 200745, 101161, 1626156, 200751, 200752, 1626161, 101181, 200765, 200768, 1626178, 101187, 203082, 1628495, 203094, 202326, 203099, 202332, 1627747, 201572, 202341, 2406, 1891, 202344, 201574, 200811, 203120, 201585, 202361, 101249, 203909, 203144, 1627785, 203915, 1626251, 203917, 203921, 203925, 202389, 202391, 203930, 1627821, 203186, 2742, 203961, 202682, 202685, 203459, 2501, 203462, 203463, 201160, 201158, 201171, 201942, 201954, 1628386, 201956, 203492, 201189, 203495, 201960, 203499, 203501, 201967, 2546, 202738, 2554}"
76011,Alvan Adams,"{770, 78084, 134, 78215, 76680, 77835, 78095, 78352, 912, 76436, 77718, 76824, 77081, 76699, 76317, 76831, 77984, 288, 930, 291, 78500, 78501, 77864, 77993, 78634, 77481, 1453, 76078, 78512, 76978, 77235, 77364, 76085, 76472, 76985, 698, 78398, 78399, 78143, 76739, 77637, 77510, 76231, 76742, 78407, 204, 76621, 77520, 76625, 76242, 77141, 76888, 77022, 78305, 229, 78314, 78059, 77420, 76138, 77034, 77424, 78065, 78323, 77685, 77047, 77178, 77308, 77438, 895}"
76012,Don Adams,"{77570, 78466, 77316, 78084, 76802, 76807, 76806, 77705, 76166, 77835, 77580, 78350, 77710, 78485, 76568, 77464, 77338, 76187, 78366, 78367, 77733, 76076, 76979, 77240, 76985, 77498, 77627, 78397, 76733, 78143, 78147, 76740, 76485, 600005, 77259, 78540, 78028, 77388, 78547, 77688, 76504, 77658, 76634, 77149, 76383, 76002, 77669, 76647, 78313, 77548, 76525, 78190, 77553, 77554, 78200}"
200801,Hassan Adams,"{101120, 2210, 2215, 361, 2411, 1713, 467, 2420, 2067, 2774, 200766, 101148, 1630, 200767}"
1629121,Jaylen Adams,"{203458, 203145, 203081, 1629642, 203468, 203918, 1629117, 203473, 1629650, 2772, 1629014, 1629016, 203994, 1629658, 1629018, 203101, 1628381, 1628380, 1626209, 1626147, 1629027, 1627752, 1629353, 1627816, 1713, 1627761, 2546, 202355, 1628403, 1628989}"
203919,Jordan Adams,"{2754, 200770, 204098, 2757, 2440, 1626185, 203210, 203798, 202720, 201188, 2216, 203950, 201584, 1713, 201585, 203955, 203893, 201144, 201145, 202362, 201979, 201148, 2365}"
